cve,nombre,distrito,lat,lon,area,geometry_geojson
12-205,2 DE OCTUBRE,14,19.272159173985003,-99.23054298162664,2.2140086863615284e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2334388730516, 19.2725598509651], [-99.2338571309654, 19.274353885962004], [-99.22893726775838, 19.2756377456679], [-99.22887604274558, 19.266944235779697], [-99.2316964082399, 19.273040555232605], [-99.2334388730516, 19.2725598509651]]]}"
12-001,AHUACATITLA,19,19.208117371853103,-99.1647116856346,1.7651973414201943e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.16862004163121, 19.2074284655327], [-99.16772109352519, 19.210132082227695], [-99.1606951527522, 19.208908766122303], [-99.16172002550431, 19.2055896605045], [-99.1636682198632, 19.207768092146804], [-99.16862004163121, 19.2074284655327]]]}"
12-082,AMPLIACION LOMAS DE PADIERNA,14,19.296907186419862,-99.22012278510194,2.696507604161182e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2190971367689, 19.2974555204371], [-99.2197301103522, 19.295696720775002], [-99.221150289571, 19.296751313889693], [-99.220870172748, 19.2978103649832], [-99.2190971367689, 19.2974555204371]]]}"
12-002,AMPLIACION MIGUEL HIDALGO 2A SECC,14,19.282481312473283,-99.19782612890809,9.485358834758324e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1912178109363, 19.281158038741502], [-99.2014668722876, 19.2770425314791], [-99.2048217771066, 19.286522492211798], [-99.1937380960432, 19.287091777368303], [-99.1902199263965, 19.284216241975795], [-99.19276418814299, 19.283112735219998], [-99.1912178109363, 19.281158038741502]]]}"
12-003,AMPLIACION MIGUEL HIDALGO 3A SECC,14,19.280002778598735,-99.20676984430386,8.673131852257106e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2110164838337, 19.283130501161505], [-99.2097962506327, 19.2862933204052], [-99.2048217771066, 19.286522492211798], [-99.2014668722876, 19.2770425314791], [-99.2057853463289, 19.276258258920397], [-99.2055574649023, 19.272531604595592], [-99.20351539990992, 19.271718286155295], [-99.20356843041101, 19.270016698551803], [-99.20564199648608, 19.269783101878], [-99.20730468149429, 19.2745693703866], [-99.2123549151801, 19.279470221262503], [-99.2110164838337, 19.283130501161505]]]}"
12-004,AMPLIACION MIGUEL HIDALGO 4A SECC,14,19.27351444526613,-99.21032575658784,5.173796863429369e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.21281189821269, 19.276424530599996], [-99.21354958796421, 19.278523130968203], [-99.2123549151801, 19.279470221262503], [-99.20730468149429, 19.2745693703866], [-99.2060532833026, 19.272327328591796], [-99.20853319757461, 19.2714329398232], [-99.20681682373382, 19.270367068283097], [-99.20690717870572, 19.2683809172845], [-99.2147536434344, 19.272643070137196], [-99.2118238961771, 19.2751198237271], [-99.21281189821269, 19.276424530599996]]]}"
12-005,AMSA,16,19.285012308710577,-99.13886898837865,1.2073669170924589e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1405571234125, 19.283688744674695], [-99.13997102962891, 19.287539557703198], [-99.136577842757, 19.286067812265003], [-99.1389430720253, 19.282234821504396], [-99.1405571234125, 19.283688744674695]]]}"
12-007,ARBOLEDAS DEL SUR,16,19.29279131348983,-99.13891921050639,3.398199382997464e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1413625387448, 19.293598441922793], [-99.1452151793222, 19.294823988078893], [-99.1361055925184, 19.295186393391], [-99.1353668126828, 19.288916478200797], [-99.1407747271385, 19.290496290164704], [-99.1413625387448, 19.293598441922793]]]}"
12-008,ARENAL GUADALUPE TLALPAN,16,19.2866042319479,-99.14624039231673,3.138392445531095e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1389430720253, 19.282234821504396], [-99.14659692175958, 19.284739306601605], [-99.1514872094921, 19.2901002638163], [-99.1495789063755, 19.291328721030695], [-99.1389430720253, 19.282234821504396]]]}"
12-009,ARENAL PUERTA TEPEPAN,16,19.28562708140526,-99.15006675631344,4.2409122421595864e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1411579863867, 19.281220310243597], [-99.15615532809629, 19.285766928998797], [-99.1569328220163, 19.286629850994103], [-99.1514872094921, 19.2901002638163], [-99.1474385190939, 19.2853461983648], [-99.14102585165192, 19.2825025790631], [-99.1411579863867, 19.281220310243597]]]}"
