id_seccion,nombre,distrito,distrito_federal,circunscripcion,lat,lon,poblacion,padron_electoral,lista_nominal,tipo_zona,area,geometry_geojson
3742,Sección 3742 · Tlalpan,16,14,1,19.299978123392297,-99.16240172515359,1105,1232,1222,urbana,9.417447403884328e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.16371219856829, 19.3014765438033], [-99.16152665508588, 19.3011221047249], [-99.15935272398728, 19.3000527165514], [-99.16454520009889, 19.2985929113672], [-99.16371219856829, 19.3014765438033]]]}"
3743,Sección 3743 · Tlalpan,16,14,1,19.299991393590727,-99.16527344070222,1366,1136,1124,urbana,4.58935366490008e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.16668420941829, 19.2992086815929], [-99.165691547695, 19.3000254851046], [-99.1651783528643, 19.2983596735194], [-99.16371219856829, 19.3014765438033], [-99.16624325203888, 19.3008705402446], [-99.16668420941829, 19.2992086815929]]]}"
3744,Sección 3744 · Tlalpan,16,14,1,19.30146741251486,-99.18164235785152,1698,1401,1395,urbana,2.9911720967752518e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1771615199446, 19.3033064367894], [-99.1859766046908, 19.3028700113003], [-99.1855941944863, 19.299610623893], [-99.1795025413958, 19.2987298730422], [-99.1787610131662, 19.3010595140603], [-99.1771759881034, 19.3010496571234], [-99.1771615199446, 19.3033064367894]]]}"
3745,Sección 3745 · Tlalpan,16,14,1,19.299603759528306,-99.1786531811646,1302,1036,1024,urbana,3.3015867733950334e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.17827466207909, 19.301056491151], [-99.1776391696672, 19.3000390990348], [-99.1797985366154, 19.2979882182585], [-99.1787610131662, 19.3010595140603], [-99.17827466207909, 19.301056491151]]]}"
3746,Sección 3746 · Tlalpan,16,14,1,19.301088248108275,-99.17618026403794,2149,1846,1834,urbana,7.53727849636001e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1753387748357, 19.3030734044013], [-99.1771615199446, 19.3033064367894], [-99.1771826786814, 19.3000059960731], [-99.17536629857871, 19.2983798109599], [-99.1753387748357, 19.3030734044013]]]}"
3747,Sección 3747 · Tlalpan,16,14,1,19.30067115846745,-99.17471396579401,1497,1234,1218,urbana,5.778567544031777e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.174086402163, 19.3028900058418], [-99.1753387748357, 19.3030734044013], [-99.17474063897832, 19.2980863249974], [-99.17405979666611, 19.2985493516536], [-99.174086402163, 19.3028900058418]]]}"
3748,Sección 3748 · Tlalpan,16,14,1,19.300685205454844,-99.17346252064179,1224,1357,1341,urbana,5.233881306409724e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.17285339461918, 19.3027309276467], [-99.174086402163, 19.3028900058418], [-99.17405979666611, 19.2985493516536], [-99.1728343355566, 19.2985574832778], [-99.17285339461918, 19.3027309276467]]]}"
3749,Sección 3749 · Tlalpan,16,14,1,19.300605760411727,-99.17222109036734,959,1332,1324,urbana,5.11739226739799e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.171590504269, 19.3025475299899], [-99.17285339461918, 19.3027309276467], [-99.1728343355566, 19.2985574832778], [-99.1715863563691, 19.2985686084938], [-99.171590504269, 19.3025475299899]]]}"
3750,Sección 3750 · Tlalpan,16,14,1,19.300515125238825,-99.17097582217315,1230,1249,1234,urbana,4.806183709700229e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.17035629601469, 19.3023768307363], [-99.171590504269, 19.3025475299899], [-99.1715863563691, 19.2985686084938], [-99.1703523519442, 19.2985662533265], [-99.17035629601469, 19.3023768307363]]]}"
3751,Sección 3751 · Tlalpan,16,14,1,19.300642907583427,-99.16954785498301,1069,1257,1246,urbana,5.669108084271693e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.17035629601469, 19.3023768307363], [-99.1703523519442, 19.2985662533265], [-99.1701316141877, 19.2985546558994], [-99.16853181269359, 19.302139063677], [-99.17035629601469, 19.3023768307363]]]}"
